arcee-ai/trinity-large-preview:free|127k
arcee-ai/trinity-mini:free|128k
cognitivecomputations/dolphin-mistral-24b-venice-edition:free|32k
deepseek/deepseek-r1-0528:free|160k
google/gemma-3-12b-it:free|32k
google/gemma-3-27b-it:free|128k
google/gemma-3-4b-it:free|32k
google/gemma-3n-e2b-it:free|8k
google/gemma-3n-e4b-it:free|8k
liquid/lfm-2.5-1.2b-instruct:free|32k
liquid/lfm-2.5-1.2b-thinking:free|32k
meta-llama/llama-3.2-3b-instruct:free|128k
meta-llama/llama-3.3-70b-instruct:free|125k
mistralai/mistral-small-3.1-24b-instruct:free|125k
nousresearch/hermes-3-llama-3.1-405b:free|128k
nvidia/nemotron-3-nano-30b-a3b:free|250k
nvidia/nemotron-nano-12b-v2-vl:free|125k
nvidia/nemotron-nano-9b-v2:free|125k
openai/gpt-oss-120b:free|128k
openai/gpt-oss-20b:free|128k
openrouter/aurora-alpha|125k
openrouter/free|195k
openrouter/pony-alpha|195k
qwen/qwen3-4b:free|40k
qwen/qwen3-coder:free|255k
qwen/qwen3-next-80b-a3b-instruct:free|256k
stepfun/step-3.5-flash:free|250k
tngtech/deepseek-r1t-chimera:free|160k
tngtech/deepseek-r1t2-chimera:free|160k
tngtech/tng-r1t-chimera:free|160k
upstage/solar-pro-3:free|125k
z-ai/glm-4.5-air:free|128k
