arcee-ai/trinity-large-preview:free|127k
arcee-ai/trinity-mini:free|128k
deepseek/deepseek-r1-0528:free|160k
google/gemma-3-12b-it:free|32k
google/gemma-3-4b-it:free|32k
google/gemma-3n-e2b-it:free|8k
google/gemma-3n-e4b-it:free|8k
liquid/lfm-2.5-1.2b-instruct:free|32k
liquid/lfm-2.5-1.2b-thinking:free|32k
nvidia/nemotron-3-nano-30b-a3b:free|250k
nvidia/nemotron-nano-12b-v2-vl:free|125k
nvidia/nemotron-nano-9b-v2:free|125k
openrouter/aurora-alpha|125k
openrouter/free|195k
openrouter/pony-alpha|195k
stepfun/step-3.5-flash:free|250k
tngtech/deepseek-r1t-chimera:free|160k
tngtech/deepseek-r1t2-chimera:free|160k
tngtech/tng-r1t-chimera:free|160k
upstage/solar-pro-3:free|125k
